geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,compliance,timestamp
tapered_plate,combined_tip,78,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:41
tapered_plate,combined_tip,79,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,80,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,81,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:41
tapered_plate,combined_tip,82,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,83,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:41
tapered_plate,combined_tip,84,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:41
tapered_plate,combined_tip,85,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:41
tapered_plate,combined_tip,86,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:41
tapered_plate,combined_tip,87,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:41
tapered_plate,combined_tip,88,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:41
tapered_plate,combined_tip,89,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:41
tapered_plate,combined_tip,90,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:41
tapered_plate,combined_tip,91,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,92,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:41
tapered_plate,combined_tip,93,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,94,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:41
tapered_plate,combined_tip,95,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:41
tapered_plate,combined_tip,96,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:41
tapered_plate,combined_tip,97,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:41
tapered_plate,combined_tip,98,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:41
tapered_plate,combined_tip,99,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:41
tapered_plate,combined_tip,100,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:42
tapered_plate,combined_tip,101,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:42
tapered_plate,combined_tip,102,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:42
tapered_plate,combined_tip,103,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:42
tapered_plate,combined_tip,104,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:42
tapered_plate,combined_tip,105,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:42
tapered_plate,combined_tip,106,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:42
tapered_plate,combined_tip,107,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:42
tapered_plate,combined_tip,108,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:42
tapered_plate,combined_tip,109,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:42
tapered_plate,combined_tip,110,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:42
tapered_plate,combined_tip,111,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:42
tapered_plate,combined_tip,112,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:42
tapered_plate,combined_tip,113,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:42
tapered_plate,combined_tip,114,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:42
tapered_plate,combined_tip,115,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:42
tapered_plate,combined_tip,116,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:42
tapered_plate,combined_tip,117,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:42
tapered_plate,combined_tip,118,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,119,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:43
tapered_plate,combined_tip,120,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:43
tapered_plate,combined_tip,121,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,122,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,123,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:43
tapered_plate,combined_tip,124,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:43
tapered_plate,combined_tip,125,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:43
tapered_plate,combined_tip,126,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:43
tapered_plate,combined_tip,127,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:43
tapered_plate,combined_tip,128,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:43
tapered_plate,combined_tip,129,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,130,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:43
tapered_plate,combined_tip,131,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,132,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:43
tapered_plate,combined_tip,133,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:43
tapered_plate,combined_tip,134,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:44
tapered_plate,combined_tip,135,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:44
tapered_plate,combined_tip,136,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:44
tapered_plate,combined_tip,137,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,138,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:44
tapered_plate,combined_tip,139,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:44
tapered_plate,combined_tip,140,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,141,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:44
tapered_plate,combined_tip,142,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:44
tapered_plate,combined_tip,143,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,144,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,145,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:44
tapered_plate,combined_tip,146,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,147,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:44
tapered_plate,combined_tip,148,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:44
tapered_plate,combined_tip,149,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:44
tapered_plate,combined_tip,150,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:44
tapered_plate,combined_tip,151,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:44
tapered_plate,combined_tip,152,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:45
tapered_plate,combined_tip,153,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:45
tapered_plate,combined_tip,154,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:45
tapered_plate,combined_tip,155,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:45
tapered_plate,combined_tip,156,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:45
tapered_plate,combined_tip,157,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:45
tapered_plate,combined_tip,158,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:45
tapered_plate,combined_tip,159,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:45
tapered_plate,combined_tip,160,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:45
tapered_plate,combined_tip,161,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:45
tapered_plate,combined_tip,162,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:45
tapered_plate,combined_tip,163,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:45
tapered_plate,combined_tip,164,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:45
tapered_plate,combined_tip,165,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:45
tapered_plate,combined_tip,166,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:45
tapered_plate,combined_tip,167,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:45
tapered_plate,combined_tip,168,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:45
tapered_plate,combined_tip,169,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:45
tapered_plate,combined_tip,170,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:46
tapered_plate,combined_tip,171,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:46
tapered_plate,combined_tip,172,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:46
tapered_plate,combined_tip,173,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T02:40:46
tapered_plate,combined_tip,174,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:46
tapered_plate,combined_tip,175,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:46
tapered_plate,combined_tip,176,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:46
tapered_plate,combined_tip,177,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:46
tapered_plate,combined_tip,178,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:46
tapered_plate,combined_tip,179,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:46
tapered_plate,combined_tip,180,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:46
